Yield_CT,Yield_change,Latitude,Longitude,Crop,Crop_rotation_CT,Soil_cover_CT,Weed_pest_control_CT,P,E,PB,Tave,Tmax,Tmin,ST
465.0,-0.4366,53.12,-114.47,barley.spring,0,0.0,1.0,424.3,398.26,26.04,12.16,21.98111,1.65268,Loam
6408.0,0.0417,34.3,-86.02,maize,0,0.0,1.0,632.2,642.644,-10.444,22.4,33.63775,8.52692,Loam
3300.0,0.2424,39.03,-85.52,maize,0,0.0,1.0,790.5,534.921,255.579,20.88333,33.27005,7.94998,Loam
9739.0,-0.0509,35.32,106.07,maize,0,0.0,1.0,320.6,383.032,-62.432,13.72,25.05716,0.08394,Loam
5070.0,-0.211,23.9,91.32,rice,0,0.0,1.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
4320.0,-0.0347,37.0,35.35,soybean,1,0.0,1.0,40.9,717.116,-676.216,24.28,33.85254,13.79313,Clay loam
1261.0,0.3608,48.55,-104.83,wheat.spring,0,0.0,1.0,252.7000065,437.9696101,-185.27,15.81999969,29.30384876,3.680356344,Loam
16400.0,0.0793,31.38,72.03,maize,0,0.0,1.0,499.7,394.544,105.156,31.78,40.21164,21.4263,Loam
8670.0,0.0502,51.33,-85.33,maize,0,0.0,1.0,231.9,401.124,-169.224,10.68333,22.94786,-1.89181,Clay
3690.0,-0.2276,19.52,-98.83,maize,0,0.0,1.0,1222.7,707.708,514.992,12.51429,22.15133,7.95546,Loam
2630.0,-0.054,34.3,-86.02,soybean,0,0.0,1.0,697.1,501.529,195.571,19.78333,31.13493,3.5017,Loam
2886.0,-0.4425,32.32,-86.9,soybean,1,0.0,1.0,237.7,551.758,-314.058,22.58333,34.36662,7.45529,Clay
1716.0,-0.0297,46.82,-100.88,sunflower,0,0.0,1.0,304.9,419.28,-114.38,13.9,25.52746,-1.55131,Loam
532.0,0.2274,50.29,-107.79,wheat.spring,0,0.0,1.0,184.4999981,446.5288669,-262.029,17.41999989,28.43632813,4.352996318,Loam
2500.0,-0.04,-2.35,30.25,maize,1,0.0,1.0,558.3,512.182,46.118,24.425,26.6788,17.19974,Clay
9541.0,0.0648,44.73,-93.12,maize,0,0.0,1.0,557.2,463.262,93.938,16.46667,29.70962,4.91865,Loam
3320.0,-0.0542,38.0,-84.5,maize,0,0.0,1.0,440.8,546.337,-105.537,21.26667,31.14711,6.27729,Loam
11800.0,0.1271,50.62,3.57,maize,1,0.0,1.0,526.4,393.164,133.236,14.11429,23.12823,4.51994,Loam
10260.0,-0.1598,44.87,20.33,maize,0,0.0,1.0,343.2,531.363,-188.163,18.55714,30.01398,6.87157,Loam
760.0,-0.6053,30.54,-96.43,soybean,1,0.0,1.0,454.6,556.408,-101.808,26.4,35.71147,15.29566,Loam
6925.0,-0.0354,35.32,106.07,maize,0,0.0,1.0,460.1000075,378.1232325,81.977,14.52000008,22.54870605,2.445574607,Loam
